scientificName
"Hircinia atra Whitfield, 1901"
"Iotrochota atra (Whitfield, 1901)"
"Clathria atrasanguinea (Bowerbank, 1862)"
"Microciona atrasanguinea Bowerbank, 1862"
"Strephochetus atratus Seely, 1886"
Prismodictya aulophia 
"Ptilocaulis aulopora (Schmidt, 1870)"
"Schmidtia aulopora Schmidt, 1870"
"Tethya aurantia de Laubenfels, 1932"
"Suberites aurantiaca (Duchassaing & Michelotti, 1864)"
"Terpios aurantiaca Duchassaing & Michelotti, 1864"
"Terpios aurantiaca Duchassaing & Michelotti, 1864"
"Suberites aurantiacus (Duchassaing & Michelotti, 1864)"
Aulocopium aurantium 
"Tethya aurantium (Pallas, 1766)"
"Aplysina aurea Hyatt, 1875"
"Smenospongia aurea (Hyatt, 1875)"
"Verongia aurea (Hyatt, 1875)"
"Goreauiella auriculata Hartman, 1969"
Chonella auriformis 
Verruculina auriformis 
Pattersonia aurita (Beecher)
Strobilospongia aurita (Beecher)
"Cliothosa aurivillii (Lindgren, 1897)"
"Spirastrella aurivillii Lindgren, 1897"
"Rhabdastrella aurora (Hentschel, 1909)"
"Dragmacidon australe (Bergquist, 1970)"
"Chondrilla australiensis Carter, 1873"
Cinachyra australiensis (Carter)
"Cinachyrella australiensis (Carter, 1886)"
"Pseudaxinella australis Bergquist, 1970"
"Dysidea avara (Schmidt, 1862)"
Hydnoceras avoca 
Halichondria B2 
Halichondria B3 
Aphrocallistes bacaqei 
Paratetilla bacca (Selenka)
"Iotrochota baculifera Ridley, 1884"
Prismodictya baculum Hall
"Lubomirskia baicalensis (Pallas, 1773)"
Lubomirskia baikalensis (Pallas)
"Echinochalina barba (Lamarck, 1813)"
"Monanchora barbadensis Hechtel, 1969"
"Spongia barbara Duchassaing & Michelotti, 1864"
"Spongia barbara Duchassaing & Michelotti, 1864"
"Geodia barretti Bowerbank, 1858"
"Inflatella bartschi de Laubenfels, 1934"
"Oceanapia bartschi (de Laubenfels, 1934)"
Gaspespongia basalis Parks
Hydnoceras bathense Hall & Clarke
"Aphrocallistes beatrix Gray, 1858"
"Girtyocoelia beedei (Girty, 1908)"
Heterocoelia beedei 
Girtycoelia benjamini 
"Aaptos bergmanni de Laubenfels, 1950"
"Echinoclathria beringensis (Hentschel, 1929)"
"Phakellia beringensis Hentschel, 1929"
"Fibulia bermuda de Laubenfels, 1950"
"Strongylacidon bermuda (de Laubenfels, 1950)"
"Geodia bicolor (von Lendenfeld, 1910)"
"Sidonops bicolor von Lendenfeld, 1910"
Leuconia bidentatus 
"Iotrochota birotulata (Higgin, 1877)"
"Ptilocaulis bistyla (Hechtel, 1983)"
"Stylaxinella bistyla Hechtel, 1983"
"Aphrocallistes bocagei Wright, 1870"
"Stelletta boglicii Schmidt, 1862"
"Polymastia boletiformis (Lamarck, 1815)"
"Sphaerotylus borealis (Swartschewsky, 1906)"
"Stylocordyla borealis (Lovén, 1868)"
"Leucosolenia botryoides (Ellis & Solander, 1786)"
Halichondria bowerbancki Burton
"Halichondria bowerbanki Burton, 1930"
"Halichondria bowerbanki Burton, 1930"
Hamptonia bowerbanki Walcott
"Strephochetus brainerdi Seely, 1886"
"Halichondria braziliensis Hechtel, 1983"
"Ptilocaulis braziliensis (Hechtel, 1983)"
"Stylaxinella braziliensis Hechtel, 1983"
"Aaata brepha de Laubenfels, 1930"
"Anaata brepha (de Laubenfels, 1930)"
"Clathria brepha (de Laubenfels, 1930)"
"Hymedesmia brepha (de Laubenfels, 1930)"
"Quasillina brevis (Bowerbank, 1861)"
"Siphonodictyon brevitubulatum Pang, 1973"
Eusiphonella bronni 
"Tedania brucei Wilson, 1894"
"Dercitus bucklandi (Bowerbank, 1858)"
Goldsonia burntensis (Shrock & Twenhofel)
Ischadites burntensis (Shrock & Twenhofel)
Astylospongia bursa 
"Weberella bursa (Müller, 1806)"
Astylospongia bussa 
Halichondria C1 
Halichondria C2 
"Haliclona caerulea (Hechtel, 1965)"
"Sigmadocia caerulea Hechtel, 1965"
Willardia caicosensis Willenz & Pomponi
"Fasciospongia caliculata (von Ledendenfeld, 1889)"
"Tethya californiana de Laubenfels, 1932"
"Axociella calla de Laubenfels, 1934"
"Clathria calla (de Laubenfels, 1934)"
Dactylocalyx callocyathus 
Heterochone calyx (Schulze)
"Xestospongia calyx de Laubenfels, 1950"
"Cacospongia camera de Laubenfels, 1936"
"Dendrilla camera (de Laubenfels, 1936)"
"Psammaplysilla camera (de Laubenfels, 1936)"
"Hircinia campana (Lamarck, 1814)"
Hircinia campana 
Hircinia campana 
"Ircinia campana (Lamarck, 1814)"
"Polytherses campana (Lamarck, 1814)"
"Clathria campecheae Hooper, 1996"
"Haliclona canaliculata Hartman, 1958"
"Arthuria canariensis (Miklucho-Maclay, 1868)"
"Leucosolenia canariensis (Miklucho-Maclay, 1868)"
"Clathrina cancellata (Verrill, 1873)"
"Leucosolenia cancellata Verrill, 1873"
"Leucosolenia cancellata Verrill, 1873"
"Polytherses capitata Duchassaing & Michelotti, 1864"
"Polytherses capitata Duchassaing & Michelotti, 1864"
Seliscothon capitatum 
"Hircinia caracasensis Carter, 1882"
"Hyrtios caracasensis (Carter, 1882)"
Adocia carbonaria (Lamarck)
"Neopetrosia carbonaria (Lamarck, 1814)"
"Pellina carbonaria Lamarck, 1814"
"Thalysias carbonaria (Lamarck, 1814)"
Calathospongia carceralis Hall & Clarke
"Cliona caribbaea Carter, 1882"
"Geodia cariboea Duchassaing & Michelotti, 1864"
"Geodia cariboea Duchassaing & Michelotti, 1864"
"Geodia carinata Bowerbank, 1858"
"Placospongia carinata (Bowerbank, 1858)"
Calathospongia carlli Hall & Clarke
"Fibulia carnosa Carter, 1886"
"Lissodendoryx carolinensis Wilson, 1911"
Ceratodictya carpenteriana Hall
"Cliona carribaea Carter, 1882"
Choia carteri Walcott
"Clathria carteri Topsent, 1889"
"Thalyseurypon carteri (Topsent, 1889)"
"Halichondria cartilaginea (Esper, 1794)"
"Hircinia cartilaginea (Esper, 1794)"
Blastinia castatum 
Dictyophyton catilliformis 
Phragmodictya catilliformis 
"Tethya caudata Deszo, 1879"
"Aplysina cauliformis (Carter, 1882)"
"Luffaria cauliformis Carter, 1882"
"Luffaria cauliformis Carter, 1882"
Verongia cauliformis (Carter)
"Aplysina cavernicola (Vacelet, 1959)"
"Verongia cavernicola Vacelet, 1959"
"Cinachyra cavernosa (Lamarck, 1815)"
"Cinachyrella cavernosa (Lamarck, 1815)"
"Fasciospongia cavernosa (Schmidt, 1862)"
"Hyattella cavernosa (Pallas, 1766)"
"Mycale cavernosa Bergquist, 1965"
"Mycale cecilia de Laubenfels, 1936"
"Cliona celata Grant, 1826"
"Amphimedon cellulosa (Verrill, 1907)"
"Pachychalina cellulosa Verrill, 1907"
Cliona celta Grant
"Dactylia ceratosa (Dendy, 1887)"
"Siphonochalina ceratosa Dendy, 1887"
Hippospongia cerebriformis (Duchassaing & Michelotti)
"Smenospongia cerebriformis (Duchassaing & Michelotti, 1864)"
"Spongia cerebriformis Duchassaing & Michelotti, 1864"
"Spongia cerebriformis Duchassaing & Michelotti, 1864"
Chalina cervicornis 
Chalinula cervicornis Bowerbank
"Clathria cervicornis (Thiele, 1903)"
"Rhaphidophlus cervicornis Thiele, 1903"
Rhizopoterion cervicornis 
Rhizopterion cervicornis Goldfuss
Rhizospongia cervicornis 
"Spongia cheiris de Laubenfels & Storr, 1958"
"Spongia cheiris de Laubenfels & Storr, 1958"
"Iophon cheliferum Ridley & Dendy, 1886"
"Iophon cheliferum Ridley & Dendy, 1886"
"Biemna chilensis Thiele, 1905"
"Cliona chilensis Thiele, 1905"
"Dysidea chlorea de Laubenfels, 1954"
"Lamellodysidea chlorea (de Laubenfels, 1954)"
Prismodictya choanea 
"Fasciospongia chondrodes (de Laubenfels, 1954)"
"Lendenfeldia chondrodes (de Laubenfels, 1954)"
"Spongionella chondrodes de Laubenfels, 1954"
Astylospongia christiani 
"Thorectopsamma chromogenia de Laubenfels, 1950"
Scypha ciliata 
"Scypha ciliatum (Fabricius, 1780)"
"Sycon ciliatum (Fabricius, 1780)"
Grantia cilliata (Fabricius)
"Haliclona cinerea (Grant, 1826)"
Isodictya cinerea Bowerbank
Spongilla cinerea Carter
"Terpios cladocerae Duchassaing & Michelotti, 1864"
"Terpios cladocerae Duchassaing & Michelotti, 1864"
"Stelletta clarella de Laubenfels, 1930"
"Ascortis clarkii Verrill, 1873"
"Leucosolenia clarkii (Verrill, 1873)"
"Clathria clathrata (Schmidt, 1870)"
Craticularia clathrata 
"Hircinia clathrata Carter, 1881"
"Monanchora clathrata Carter, 1883"
Pasceolus claudii 
"Spongia clavaherculis Duchassaing & Michelotti, 1864"
"Spongia clavaherculis Duchassaing & Michelotti, 1864"
"Corallistes clavatella Schmidt, 1870"
"Macandrewia clavatella (Schmidt, 1870)"
"Eurypon clavatum (Bowerbank, 1866)"
"Spirastrella coccinea (Duchassaing & Michelotti, 1864)"
"Thalysias coccinea Duchassaing & Michelotti, 1864"
"Thalysias coccinea Duchassaing & Michelotti, 1864"
"Pellina coela de Laubenfels, 1950"
"Pellina coeliformis Hechtel, 1965"
"Margaritella coeloptychiodes Schmidt, 1880"
"Haliclona coerulescens (Topsent, 1918)"
Pleurostoma coetata 
"Chondrosia collectrix (Schmidt, 1870)"
Rhysospongia colletti 
"Trypespongia columbia de Laubenfels, 1936"
"Polytherses columnaris Duchassaing & Michelotti, 1864"
"Polytherses columnaris Duchassaing & Michelotti, 1864"
"Preverticillites columnella Parona, 1933"
"Taonura colus (Lamarck, 1814)"
"Hippospongia communis (Lamarck, 1814)"
"Hippospongia communis de Laubenfels, 1954"
"Hyrtios communis (Carter, 1885)"
"Suberites compacta Verrill, 1873"
Pachypoterion compactum 
"Suberites compactus Verrill, 1873"
"Amphimedon complanata (Duchassaing, 1850)"
"Haliclona complanata (Duchassaing, 1850)"
"Spongia complanata Duchassaing, 1850"
"Dysidea complex (de Laubenfels, 1954)"
"Phyllospongia complex de Laubenfels, 1954"
"Amphimedon compressa Duchassaing & Michelotti, 1864"
"Amphimedon compressa Duchassaing & Michelotti, 1864"
"Aplysina compressa Carter, 1882"
Auletta compressa Hechtel
"Clathria compressa Schmidt, 1862"
"Grantia compressa (Fabricius, 1780)"
"Joannella compressa Schmidt, 1880"
Phymaraphinia compressa Hinde
"Aulena concertina de Laubenfels, 1954"
"Hyattella concertina (de Laubenfels, 1954)"
"Chondrocladia concrescens (Schmidt, 1880)"
"Cladorhiza concrescens Schmidt, 1880"
Microdendron confluens 
"Spheciospongia confoederata de Laubenfels, 1930"
Halichondrites confusus 
Stylopegma conica King
Agelas conifera (Schmidt)
"Gelliodes consimilis Lundbeck, 1902"
Turonia constricta Zittel
Leptophragma contorta 
"Thalyseurypon conulosa Hechtel, 1965"
Pachastrella convoluta 
Astrostomella corallina 
"Uruguaya corallioides (Bowerbank, 1863)"
"Siphonodictyon coralliphagum Rützler, 1971"
Siphonodictyon coralliphagum Rutzler
"Clathria coralloides (Scopoli, 1772)"
"Clathrina coriacea (Montagu, 1814)"
Jaspis coriacea (Carter)
"Spongia corlosia Duchassaing & Michelotti, 1864"
"Spongia corlosia Duchassaing & Michelotti, 1864"
"Grantia coronata (Ellis & Solander, 1786)"
Protospongia coronata 
"Sycon coronatum (Ellis & Solander, 1786)"
"Penares cortius de Laubenfels, 1930"
Stioderma coscinum Finks
Hallirhoa costata 
Sphenaulax costata Goldfuss
"Crambe crambe (Schmidt, 1862)"
"Craniella cranium (Muller, 1776)"
"Craniella cranium (George & Wilson, 1919)"
"Aiolochroia crassa (Hyatt, 1875)"
"Dendrospongia crassa Hyatt, 1875"
"Isodictya crassa Bowerbank, 1866"
Pseudoceratina crassa (Hyatt)
"Verongia crassa (Hyatt, 1875)"
"Haliclona crassiloba (Lamarck, 1814)"
"Stelletta crater Dendy, 1924"
"Astylomanon cratera (Roemer, 1848)"
Palaeomanon cratera Roemer
Palaeomanon cratera 
"Clathria cratitia (Esper, 1797)"
"Thalysias cratitia (Esper, 1797)"
"Dysidea crawshayi de Laubenfels, 1936"
Cliona cretacea 
Stelospongos cribriformis Hyatt
Stelospongos cribriformis 
"Aciculites cribrophora (Schmidt, 1880)"
"Azorica cribrophora Schmidt, 1880"
Cribrospongia cribrosa 
"Papillina cribrosa Schmidt, 1870"
"Tuba crispa Duchassaing & Michelotti, 1864"
"Tuba crispa Duchassaing & Michelotti, 1864"
Cryptotethya crypta de Laubenfels
"Neocoelia crypta Vacelet, 1977"
"Tectitethya crypta (de Laubenfels, 1949)"
"Tethya crypta (de Laubenfels, 1949)"
"Vaceletia crypta (Vacelet, 1977)"
Leiochonia cryptoporosa 
"Corynella crysanthemum Parona, 1933"
"Geodia cumulus Schmidt, 1870"
"Clathria curacaoensis Arndt, 1927"
"Cervicornia cuspidifera (Lamarck, 1815)"
"Spirastrella cuspidifera (Lamarck, 1815)"
"Acanthancora cyanocrypta (de Laubenfels, 1930)"
"Hymenamphiastra cyanocrypta de Laubenfels, 1930"
"Vosmaeropsis cyanthus (Verrill, 1873)"
Protospongia cyathiformis 
"Dasychalina cyathina de Laubenfels, 1936"
"Leucandra cyathus Verrill, 1873"
"Clathria cylindrica (Ridley & Dendy, 1886)"
Dictyophyton cylindrica 
Dictyospongia cylindrica 
"Esperiopsis cylindrica Ridley & Dendy, 1886"
"Esperiopsis cylindrica Ridley & Dendy, 1886"
"Ircinia cylindrica (Duchassaing & Michelotti, 1864)"
Neohindia cylindrica 
"Neopetrosia cylindrica (Lamarck, 1815)"
"Polytherses cylindrica Duchassaing & Michelotti, 1864"
"Polytherses cylindrica Duchassaing & Michelotti, 1864"
"Ectyon cylindricus Carter, 1883"
Ophiraphidites cylindricus 
Hydriodictya cylix Hall & Clarke
Halichondria D1 
Halichondria D2 
Receptaculites dactioloides 
"Axinella damicornis (Esper, 1794)"
Saccospongia daniellensis 
Saccospongia danvillensis Ulrich
Pasceolus darwini 
Pasceolus darwini 
Physospongia dawsoni (Whitfield)
"Coeloptychium deciminum Roemer, 1841"
Siphonia decipiens 
Lefroyella decora Thompson
"Microblastidium decurrens Schrammen, 1902"
"Isodictya deichmannae (de Laubenfels, 1949)"
Hazelia delicatula Walcott
Protospongia delicatula 
"Cliona delitrix Pang, 1973"
"Ancorina demera (de Laubenfels, 1934)"
