scientificName
Phoebodus knightianus Eastman
Protitanichthys fossatus Eastman
Pygaeus agassizii Eastman
Synthetodus calvini Eastman
"Tamiobatis vetustus Eastman, 1897"
"Palaeomylus predator Eastman, 1898"
"Phoebodus dens-neptuni Eastman, 1903"
Ruthiromia elcobriensis Eberth & Brinkman
Phthinosuchus discors Efremov
Platyops watsoni Efremov
Redfieldii redfieldi Egerton
Semionatus redfieldi Egerton
Thyestes verrucosus Eichw.
Rutidon carolinensis Emmons
Oxacron minimus Filhol
Pachycynodon dubius Filhol
Paleoprionodon lemandini Filhol
Proaelurus medius Filhol
Rhamphorhynchus suevicus Fraas
Pseudoceras potteri Frick
Orthacanthus bohemicus Fritsch
Trinitichelys hiatti Gaffney
"Stockia powayensis Gazin, 1958"
"Utahia kayi Gazin, 1958"
"Tetonoides pearcei Gazin, 1962"
Oreopithecus bambolii Gervais
Plesiomeryx cadurcensis Gervais
Prosthennops crassigenis Gidley
"Paromomys depressidens Gidley, 1923"
"Stenichnus yakiensis Gilmore, 1927"
"Tridentichnus supaiensis Gilmore, 1927"
Palaeobatrachus dilurianus Goldfuss
"Pronycticebus gaudryi Grandidier, 1904"
"Shoshonius cooperi Granger, 1910"
"Pseudomys  Gray, 1832"
Pleuroplax rankinei H. & A.
Strepsodus sulcidens H. & A.
Palaeomerys scheucheri H. v. Meyer
Pteroplax cornuta Hancock & Atthey
Palaeobalistum goedeli Heckel
Phyllolepis orvini Heintz
Svalbardaspis rotundus Heintz
"Plataspis brevicornis Heintz, 1929"
"Petrobates  Heuglin, 1860"
Orozomys pliocaenicus Hibbard
Prodipodomys kansensis Hibbard
"Proconsul africanus Hopwood, 1933"
Plateosaurus quenstedti Huene
Pholiderpeton scutigerum Huxley
Urocordylus wandesfordii Huxley
"Probathyopsis successor Jepsen, 1930"
"Tetonoides tenuiculus Jepsen, 1930"
Tharrhias araripis Jordan & Branner
Xyne grex Jordan & Gilbert
Pharyngolepis oblongus Kiaer
Pterolepis nitidus Kiaer
Pterolepis nitilus Kiaer
Pterygolepis nitidus Kiaer
Rhyncholepis parvulus Kiaer
Rhyncolepis parvulus Kiaer
Rhyncholepis  Kiaer 1911
"Romeria  Koczwara, 1932"
Thyestes egertoni Lankester
Rytiodus capgrandi Larptet
"Tragocerus  Latreille, 1829"
Paraphiomys pigotti Lavosat 1973
Suaptenos whitei Lawrence
Parotodus benedeni Le Hon 1871
Parelephos floridanus Leidy
Proroziphius chonops Leidy
Stegomastodon merificus Leidy
Stylemys nebrascensis Leidy
Tephrocyon temerarius Leidy
"Washakius insignis Leidy, 1873"
"Platychoerops daubrei Lemoine, 1879"
Sugrivapithecus gregori Lewis
Sugrivapithecus salmontanus Lewis
Sciuroides rutimeyeri Major
"Tylosaurus  Marsh, 1872"
"Protoreodon pumlius Marsh, 1875"
"Pseudolycopsis cabrerai Marshall, 1976"
Prosciurus vetustus Matthew
Titanotheriomys veterior Matthew
Titanotheromys vetetior Matthew
Paracaviculus gigas Matthew & Cook
"Sarcodon pygmaeus Matthew & Granger, 1925"
Palaeoryctes puercensis Matthew 1913
"Pentacodon occultus Matthew, 1937"
"Scenopagus mcgrewi McKenna and Simpson, 1959"
"Sparassocynus derivatus Mercerat, 1898"
Palaeotapirus helvetius Meyer
"Pterichthyodes milleri Miller ex Agassiz, 1841"
"Pterichthyodes  Miller ex Agassiz, 1841"
Rhamphorhynchus longicaudum Mnnster
Odonterpeton triangulare Moodie
Parioxys romeri Moustafa
Phoebodus politus N.
Strethacanthus productus N.
Onychodus  Newb.
Onychodus sigmoides Newberry
"Stethacanthus  Newberry, 1889"
"Titanichthys agassizii Newberry, 1889"
Scaphognathus purdoni Newton
"Ornithosuchus longidens Newton, 1894"
Prothyracodon uintense O. A. Peterson
Rhynchotherium tlasealae Osborn
"Ourayia uintensis Osborn, 1895"
Palaeophis typhaeus Owen
Panochthus tuberauloides Owen
Phascolonus gigas Owen
Pleurosternum bullocki Owen
Pliosaurus grandis Owen
Polyptychodon interruptus Owen
Procoptodon goliah Owen
Procoptodon rapha Owen
Thylacoleo carnifex Owen
Troposodon minor Owen
Varanus prisca Owen
"Theria  Parker and Haswell, 1897"
Oeselaspis pustulata Patten
Tremataspis mammillata Patten
Tremataspis milleri Patten
Proticia venezuelensis Patterson
"Patene simpsoni Paula Conto, 1952"
"Protodidelphis vanzolini Paula Conto, 1952"
Pareumys milleri Peterson
Pentacemylus progressus Peterson
Rhamphorhynchus kokeni Plieniger
Romeria texana Price
Scorpaenoides popovicii Priem
Redfieldii gracilis Redfield
Proterochampsa barrioneuvoi Reig
"Thylophorops chapalmalensis Reig, 1952"
"Schizodontomys sulcidens Rensberger, 1973"
Thylacosmilus atrox Riggs
Pteraspis dunensis Rom.
Pholiderpeton(?) bretonensis Romer
"Stereophallodon ciscoensis Romer, 1937"
"Varanosaurus wichitaensis Romer, 1937"
"Thursius clappi Romer, 1942"
Typothorax meadei Sawin
Palaeoryx stntzell Schlosser
Pseudotragus capricornis Schlosser
"Rhabdoderma  Schmidle & Lauterborn, 1900"
Trachydermochelys phlyctaenus Seeley
Tribalodon frerensis Seeley
"Thrinaxodon liorhinus Seeley, 1894"
Parahippis leonensis Sel.
Paratetonius steini Seton
Palaeochenoides mioceanus Shufeldt
"Oligopithecus savagei Simons, 1962"
"Palenochtha minor Simpson, 1935"
"Patene coluapiensis Simpson, 1935"
"Polydolops rothi Simpson, 1936"
"Propaleosinopa thomsoni Simpsoni, 1936"
Thrinacodus nanus St. J. & W.
"Xystracanthus mirabilis St. John & Worthen, 1875"
"Protoadapis brachyrhyncus Stehlin, 1912"
Shielia taiti Stetson
Stirtonia tatacoensis Stirton
Washakius pacificus Stock
"Tristychius fimbriatus Stock, 1883"
"Zephyrosaurus schaffi Sues, 1980"
"Tinimomys graybulliensis Szalay, 1975"
"Teilhardina belgica Teilhard de Chardin, 1927"
Tranodis  Thomson 1965
Palaeospondylus gunni Traq.
Paleospondylus gunni Traquair
Thursius pholidotus Traquair
Wardichthys oyclosoma Traquair
Palaeobatrachus goldfussi Tschudi
Regalites ischigualastianus v. Huene
Physeterula dubusii Van B.
Palaeotaricha oligocenica van Frank
"Purgatorius unio Van Valen and Sloan, 1965"
Ogmophis pauperrimus Vanzolini
"Ogmophis pauperrimus Vanzolini, 1952"
Platycormus germanus von der Marck
Tubantia cataphractus von der Marck
Rana jageri von Meyer
"Physichthys hoeninghausi von Meyer, 1855"
"Pelion  W. F. Kirby, 1858"
Ophiopsis attenuata Wagner
Platychelys oberndorferi Wagner
"Scaphognathus crassirostris Wagner, 1861"
Pachygenelus monus Watson
Rhamphodopsis trispinatus Watson
Osteoborus dudleyi White
Parablastomeryx floridanus White
Paratylopus grandis White
Prosthennops elmorei White
Syndyoceras australis White
Syndyoceros australis White
Synodoceras australis White
"Parablastomeryx floridanus White, 1940"
"Pliogulo dudleyi White, 1941"
"Syndoceras australis White, 1941"
"Paradaphaenus tropicalis White, 1942"
Phlyctaenius acadicus Whiteaves
Scaumenacia curta Whiteaves
Rhizodopsis sauroides Will.
Paramphibius didactylus Willard
"Parvipes minutus Willard & Cleaves, 1930"
Parthochelys laticeps Williston
Platygonus leptorhinus Williston
Trematops milleri Williston
"Platyhystrix rugosus Williston, 1911"
"Varanops  Williston, 1911"
"Rooneyia viejaensis Wilson, 1966"
Prothyracodon  Wood
Toxotherium hunteri Wood
Stegotrachelus fiselayi Wood & White
"Proheteromys nebraskensis Wood, A.E., 1937"
"Obdurodon insignis Woodburne & Tedford, 1975"
Protodus jixi Woodward
"Plesiogulo  Zdansky, 1924"
"Plesiogulo  Zdansky, 1924"
